x,y,full_id,osm_id,osm_type,amenity,name,name:kn,barrier,bicycle,foot,motorcycle,wikidata,addr:city,addr:postcode,addr:street,wheelchair,ups_school,phone,website,isced:level,operator,place,school,highway,building,email,addr:housename,designation,alt_name,fax,description,name:en,name:hi,addr:housenumber,opening_hours,cmt,ele,hdop,sat,level,entrance,access,building:levels,isced,addr:country,addr:hamlet,addr:suburb
77.63686,12.9251002,n6349008940,6349008940,node,school,GHPS Jakkasandra,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಜಕ್ಕಸಂದ್ರ,,,,,,,,,,,,,2,Department of Education,Jakkasandra,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.61023,12.9218216,n6349000293,6349000293,node,school,GHPS Tavarekere,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ತಾವರೆಕೆರೆ,,,,,,,,,,,,,2,Department of Education,Tavarekere,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6296536,12.9447434,n6349003902,6349003902,node,school,GHPS Eegipura,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಈಜಿಪುರ,,,,,,,,,,,,,2,Department of Education,Eegipura,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6185744,12.9244734,n6348996832,6348996832,node,school,Sri Sathyanarayana HPS Madival,ಶ್ರೀ ಸತ್ಯನಾರಾಯಣ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಮಡಿವಾಲ್,,,,,,,,,,,,,2,Department of Education,Madival,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6087264,12.9199038,n6348998895,6348998895,node,school,GUHPS  New Tavarekere,ಸರ್ಕಾರಿ ಉರ್ದು ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಹೊಸ ತಾವರೆಕೆರೆ,,,,,,,,,,,,,,Department of Education,,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6338341,12.9207382,n6348981034,6348981034,node,school,GMPS Venkatapura,ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವೆಂಕಟಾಪುರ,,,,,,,,,,,,,2,Department of Education,Venkatapura,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6325688,12.9243486,n6348984684,6348984684,node,school,GHPS Ksrp Koramangala,ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ  ಕೋರಮಂಗಲ,,,,,,,,,,,,,2,Department of Education,Koramangala,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6129027,12.9630809,n6349048978,6349048978,node,school,GUMPS Yalagondana Palya,ಸರ್ಕಾರಿ ಉರ್ದು ಪ್ರಾಥಮಿಕ ಮಾದರಿ ಶಾಲೆ ಯಳಗೊಂಡನ ಪಾಳ್ಯ,,,,,,,,,,,,,2,Department of Education,Yalagondana Palya,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.5968593,12.9482206,n6349052554,6349052554,node,school,GKMPS Wilson Garden,ಸರ್ಕಾರಿ ಕನ್ನಡ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವಿಲ್ಸನ್ ಗಾರ್ಡನ್,,,,,,,,,,,,,2,Department of Education,Wilson Garden,primary,,,,,,,,,,,,,,,,,,,,,,,,
77.6005694,12.9533162,n6349040951,6349040951,node,school,Shanthi KHPS Vinayakanagar,ಶಾಂತಿ ಕನ್ನಡ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆ ವಿನಾಯಕನಗರ,,,,,,,,,,,,,2,Department of Education,Vinayakanagar,primary,,,,,,,,,,,,,,,,,,,,,,,,
